;Código Pacote;Label SEEDS;Unnamed: 2;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;Fase;Atividade;Diâmetro;Codigo;"Operação - caso Sonda ser Dual Active
";Código 2;Fase.1;Atividade.1;Operação;Unnamed: 19;Unnamed: 20
806;;;RIH_BHA_16_3_5;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 5;Troca de broca;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Troca de broca;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
807;;;RIH_BHA_16_4_5;"""Montar FIRBP com bucha proteção {phase6_case_diameter} pol""""""";;;;1;0;0;FASE 5;Troca de broca;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Troca de broca;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
808;;;RIH_BHA_16_5_5;"""Montar FIRBP com bucha proteçao {phase5_case_diameter} pol """"""";;;;1;0;0;FASE 5;Troca de broca;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Troca de broca;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
809;;;RIH_BHA_16_6_5;Descer BHA {phase5_diameter} pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 5;Troca de broca;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Troca de broca;;5;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
810;;;RIH_BHA_16_7_5;Descer BHA {phase5_diameter} pol(poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 5;Troca de broca;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Troca de broca;;5;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
811;;;RIH_BHA_16_8_5;Descer BHA {phase5_diameter} pol(poço aberto);insere;y ={PFB} - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 5;Troca de broca;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Troca de broca;;5;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
812;RIH_BHA 16-fase-6;RIH_BHA 16-fase-6;RIH_BHA_16_1_6;Mover e cortar cabo de perfuração;zerar itens;;;2;0;0;FASE 6;Troca de broca;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Troca de broca;;6;Perfuração;Corrida e/ou corte de cabo de perfuração;Baixa;P-17
813;;;RIH_BHA_16_2_6;Montar BHA {phase6_diameter} pol;;;;6;0;0;FASE 6;Troca de broca;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Troca de broca;;6;Perfuração;Montagem de BHA;Baixa;P-01
814;;;RIH_BHA_16_3_6;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 6;Troca de broca;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Troca de broca;;6;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
815;;;RIH_BHA_16_4_6;"""Montar FIRBP com bucha proteção {phase7_case_diameter} pol""""""";;;;1;0;0;FASE 6;Troca de broca;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Troca de broca;;6;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
816;;;RIH_BHA_16_5_6;"""Montar FIRBP com bucha proteçao {phase6_case_diameter} pol """"""";;;;1;0;0;FASE 6;Troca de broca;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Troca de broca;;6;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
817;;;RIH_BHA_16_6_6;Descer BHA {phase6_diameter} pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 6;Troca de broca;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Troca de broca;;6;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
818;;;RIH_BHA_16_7_6;Descer BHA {phase6_diameter} pol(poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 6;Troca de broca;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Troca de broca;;6;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
819;;;RIH_BHA_16_8_6;Descer BHA {phase6_diameter} pol(poço aberto);insere;y ={PFB} - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 6;Troca de broca;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Troca de broca;;6;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
820;RIH_BHA 16-fase-7;RIH_BHA 16-fase-7;RIH_BHA_16_1_7;Mover e cortar cabo de perfuração;zerar itens;;;2;0;0;FASE 7;Troca de broca;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Troca de broca;;7;Perfuração;Corrida e/ou corte de cabo de perfuração;Baixa;P-17
821;;;RIH_BHA_16_2_7;Montar BHA {phase7_diameter} pol;;;;6;0;0;FASE 7;Troca de broca;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Troca de broca;;7;Perfuração;Montagem de BHA;Baixa;P-01
822;;;RIH_BHA_16_3_7;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 7;Troca de broca;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Troca de broca;;7;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
823;;;RIH_BHA_16_4_7;"""Montar FIRBP com bucha proteção {phase8_case_diameter} pol""""""";;;;1;0;0;FASE 7;Troca de broca;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Troca de broca;;7;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
824;;;RIH_BHA_16_5_7;"""Montar FIRBP com bucha proteçao {phase7_case_diameter} pol """"""";;;;1;0;0;FASE 7;Troca de broca;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Troca de broca;;7;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
825;;;RIH_BHA_16_6_7;Descer BHA {phase7_diameter} pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Troca de broca;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Troca de broca;;7;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
826;;;RIH_BHA_16_7_7;Descer BHA {phase7_diameter} pol(poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Troca de broca;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Troca de broca;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
827;;;RIH_BHA_16_8_7;Descer BHA {phase7_diameter} pol(poço aberto);insere;y ={PFB} - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Troca de broca;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Troca de broca;;7;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
828;RIH_BHA 16-fase-8;RIH_BHA 16-fase-8;RIH_BHA_16_1_8;Mover e cortar cabo de perfuração;zerar itens;;;2;0;0;FASE 8;Troca de broca;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Troca de broca;;8;Perfuração;Corrida e/ou corte de cabo de perfuração;Baixa;P-17
829;;;RIH_BHA_16_2_8;Montar BHA {phase8_diameter} pol;;;;6;0;0;FASE 8;Troca de broca;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Troca de broca;;8;Perfuração;Montagem de BHA;Baixa;P-01
830;;;RIH_BHA_16_3_8;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 8;Troca de broca;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Troca de broca;;8;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
831;;;RIH_BHA_16_4_8;"""Montar FIRBP com bucha proteção {phase9_case_diameter} pol""""""";;;;1;0;0;FASE 8;Troca de broca;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Troca de broca;;8;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
832;;;RIH_BHA_16_5_8;"""Montar FIRBP com bucha proteçao {phase8_case_diameter} pol """"""";;;;1;0;0;FASE 8;Troca de broca;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Troca de broca;;8;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
833;;;RIH_BHA_16_6_8;Descer BHA {phase8_diameter} pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Troca de broca;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Troca de broca;;8;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
834;;;RIH_BHA_16_7_8;Descer BHA {phase8_diameter} pol(poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Troca de broca;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Troca de broca;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
835;;;RIH_BHA_16_8_8;Descer BHA {phase8_diameter} pol(poço aberto);insere;y ={PFB} - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Troca de broca;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Troca de broca;;8;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
836;RIH_BHA 16-fase-9;RIH_BHA 16-fase-9;RIH_BHA_16_1_9;Mover e cortar cabo de perfuração;zerar itens;;;2;0;0;FASE 9;Troca de broca;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Troca de broca;;9;Perfuração;Corrida e/ou corte de cabo de perfuração;Baixa;P-17
837;;;RIH_BHA_16_2_9;Montar BHA {phase9_diameter} pol;;;;6;0;0;FASE 9;Troca de broca;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Troca de broca;;9;Perfuração;Montagem de BHA;Baixa;P-01
838;;;RIH_BHA_16_3_9;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 9;Troca de broca;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Troca de broca;;9;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
839;;;RIH_BHA_16_4_9;"""Montar FIRBP com bucha proteção {phase9_case_diameter} pol + 1""""""";;;;1;0;0;FASE 9;Troca de broca;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Troca de broca;;9;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
840;;;RIH_BHA_16_5_9;"""Montar FIRBP com bucha proteçao {phase9_case_diameter} pol """"""";;;;1;0;0;FASE 9;Troca de broca;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Troca de broca;;9;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
841;;;RIH_BHA_16_6_9;Descer BHA {phase9_diameter} pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 9;Troca de broca;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Troca de broca;;9;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
842;;;RIH_BHA_16_7_9;Descer BHA {phase9_diameter} pol(poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 9;Troca de broca;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Troca de broca;;9;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
843;;;RIH_BHA_16_8_9;Descer BHA {phase9_diameter} pol(poço aberto);insere;y ={PFB} - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 9;Troca de broca;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Troca de broca;;9;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
844;RIH_BHA 17-fase-3;RIH_BHA 17-fase-3;RIH_BHA_17_1_3;Montar BHA com Alargador {phase3_diameter} pol;zerar itens;;;6;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Perfuração;Montagem de BHA;Baixa;P-01
845;;;RIH_BHA_17_2_3;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
846;;;RIH_BHA_17_3_3;Descer BHA com Alargador {phase3_diameter} pol (riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
847;;;RIH_BHA_17_4_3;Descer BHA com Alargador {phase3_diameter} pol (poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
848;RIH_BHA 17-fase-4;RIH_BHA 17-fase-4;RIH_BHA_17_1_4;Montar BHA com Alargador {phase4_diameter} pol;zerar itens;;;6;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Perfuração;Montagem de BHA;Baixa;P-01
849;;;RIH_BHA_17_2_4;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
850;;;RIH_BHA_17_3_4;Descer BHA com Alargador {phase4_diameter} pol (riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
851;;;RIH_BHA_17_4_4;Descer BHA com Alargador {phase4_diameter} pol (poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
852;RIH_BHA 17-fase-5;RIH_BHA 17-fase-5;RIH_BHA_17_1_5;Montar BHA com Alargador {phase5_diameter} pol;zerar itens;;;6;0;0;FASE 5;Montagem e descida de BHA de perfuração;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Montagem e descida de BHA de perfuração;;5;Perfuração;Montagem de BHA;Baixa;P-01
853;;;RIH_BHA_17_2_5;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 5;Montagem e descida de BHA de perfuração;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Montagem e descida de BHA de perfuração;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
854;;;RIH_BHA_17_3_5;Descer BHA com Alargador {phase5_diameter} pol (riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 5;Montagem e descida de BHA de perfuração;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Montagem e descida de BHA de perfuração;;5;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
855;;;RIH_BHA_17_4_5;Descer BHA com Alargador {phase5_diameter} pol (poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 5;Montagem e descida de BHA de perfuração;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Montagem e descida de BHA de perfuração;;5;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
856;RIH_BHA 17-fase-6;RIH_BHA 17-fase-6;RIH_BHA_17_1_6;Montar BHA com Alargador {phase6_diameter} pol;zerar itens;;;6;0;0;FASE 6;Montagem e descida de BHA de perfuração;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Montagem e descida de BHA de perfuração;;6;Perfuração;Montagem de BHA;Baixa;P-01
857;;;RIH_BHA_17_2_6;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 6;Montagem e descida de BHA de perfuração;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Montagem e descida de BHA de perfuração;;6;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
858;;;RIH_BHA_17_3_6;Descer BHA com Alargador {phase6_diameter} pol (riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 6;Montagem e descida de BHA de perfuração;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Montagem e descida de BHA de perfuração;;6;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
859;;;RIH_BHA_17_4_6;Descer BHA com Alargador {phase6_diameter} pol (poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 6;Montagem e descida de BHA de perfuração;"""Broca {phase6_diameter} """"""";"""Perfuração {phase6_diameter} """"""";Montagem e descida de BHA de perfuração;;6;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
860;RIH_BHA 17-fase-7;RIH_BHA 17-fase-7;RIH_BHA_17_1_7;Montar BHA com Alargador {phase7_diameter} pol;zerar itens;;;6;0;0;FASE 7;Montagem e descida de BHA de perfuração;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Montagem e descida de BHA de perfuração;;7;Perfuração;Montagem de BHA;Baixa;P-01
861;;;RIH_BHA_17_2_7;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 7;Montagem e descida de BHA de perfuração;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Montagem e descida de BHA de perfuração;;7;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
862;;;RIH_BHA_17_3_7;Descer BHA com Alargador {phase7_diameter} pol (riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Montagem e descida de BHA de perfuração;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Montagem e descida de BHA de perfuração;;7;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
863;;;RIH_BHA_17_4_7;Descer BHA com Alargador {phase7_diameter} pol (poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Montagem e descida de BHA de perfuração;"""Broca {phase7_diameter} """"""";"""Perfuração {phase7_diameter} """"""";Montagem e descida de BHA de perfuração;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
864;RIH_BHA 17-fase-8;RIH_BHA 17-fase-8;RIH_BHA_17_1_8;Montar BHA com Alargador {phase8_diameter} pol;zerar itens;;;6;0;0;FASE 8;Montagem e descida de BHA de perfuração;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Montagem e descida de BHA de perfuração;;8;Perfuração;Montagem de BHA;Baixa;P-01
865;;;RIH_BHA_17_2_8;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 8;Montagem e descida de BHA de perfuração;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Montagem e descida de BHA de perfuração;;8;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
866;;;RIH_BHA_17_3_8;Descer BHA com Alargador {phase8_diameter} pol (riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Montagem e descida de BHA de perfuração;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Montagem e descida de BHA de perfuração;;8;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
867;;;RIH_BHA_17_4_8;Descer BHA com Alargador {phase8_diameter} pol (poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Montagem e descida de BHA de perfuração;"""Broca {phase8_diameter} """"""";"""Perfuração {phase8_diameter} """"""";Montagem e descida de BHA de perfuração;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
868;RIH_BHA 17-fase-9;RIH_BHA 17-fase-9;RIH_BHA_17_1_9;Montar BHA com Alargador {phase9_diameter} pol;zerar itens;;;6;0;0;FASE 9;Montagem e descida de BHA de perfuração;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Montagem e descida de BHA de perfuração;;9;Perfuração;Montagem de BHA;Baixa;P-01
869;;;RIH_BHA_17_2_9;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 9;Montagem e descida de BHA de perfuração;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Montagem e descida de BHA de perfuração;;9;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
870;;;RIH_BHA_17_3_9;Descer BHA com Alargador {phase9_diameter} pol (riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 9;Montagem e descida de BHA de perfuração;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Montagem e descida de BHA de perfuração;;9;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
871;;;RIH_BHA_17_4_9;Descer BHA com Alargador {phase9_diameter} pol (poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 9;Montagem e descida de BHA de perfuração;"""Broca {phase9_diameter} """"""";"""Perfuração {phase9_diameter} """"""";Montagem e descida de BHA de perfuração;;9;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
872;RIH_BHA 18-fase-3;RIH_BHA 18-fase-3;RIH_BHA_18_1_3;Montar BHA com Alargador {phase3_diameter} pol;zerar itens;;;6;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Perfuração;Montagem de BHA;Baixa;P-01
873;;;RIH_BHA_18_2_3;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
874;;;RIH_BHA_18_3_3;"""Montar FIRBP com bucha proteção {phase4_case_diameter} pol""""""";;;;1;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
875;;;RIH_BHA_18_4_3;"""Montar FIRBP com bucha proteçao {phase3_case_diameter} pol """"""";;;;1;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
876;;;RIH_BHA_18_5_3;Descer BHA com Alargador {phase3_diameter} pol (riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
877;;;RIH_BHA_18_6_3;Descer BHA com Alargador {phase3_diameter} pol (poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 3;Montagem e descida de BHA de perfuração;"""Broca {phase3_diameter} """"""";"""Perfuração {phase3_diameter} """"""";Montagem e descida de BHA de perfuração;;3;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
878;RIH_BHA 18-fase-4;RIH_BHA 18-fase-4;RIH_BHA_18_1_4;Montar BHA com Alargador {phase4_diameter} pol;zerar itens;;;6;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Perfuração;Montagem de BHA;Baixa;P-01
879;;;RIH_BHA_18_2_4;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
880;;;RIH_BHA_18_3_4;"""Montar FIRBP com bucha proteção {phase5_case_diameter} pol""""""";;;;1;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
881;;;RIH_BHA_18_4_4;"""Montar FIRBP com bucha proteçao {phase4_case_diameter} pol """"""";;;;1;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
882;;;RIH_BHA_18_5_4;Descer BHA com Alargador {phase4_diameter} pol (riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
883;;;RIH_BHA_18_6_4;Descer BHA com Alargador {phase4_diameter} pol (poço revestido);insere;y ={PIF}- PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 4;Montagem e descida de BHA de perfuração;"""Broca {phase4_diameter} """"""";"""Perfuração {phase4_diameter} """"""";Montagem e descida de BHA de perfuração;;4;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
884;RIH_BHA 18-fase-5;RIH_BHA 18-fase-5;RIH_BHA_18_1_5;Montar BHA com Alargador {phase5_diameter} pol;zerar itens;;;6;0;0;FASE 5;Montagem e descida de BHA de perfuração;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Montagem e descida de BHA de perfuração;;5;Perfuração;Montagem de BHA;Baixa;P-01
885;;;RIH_BHA_18_2_5;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 5;Montagem e descida de BHA de perfuração;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Montagem e descida de BHA de perfuração;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
886;;;RIH_BHA_18_3_5;"""Montar FIRBP com bucha proteção {phase6_case_diameter} pol""""""";;;;1;0;0;FASE 5;Montagem e descida de BHA de perfuração;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Montagem e descida de BHA de perfuração;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
887;;;RIH_BHA_18_4_5;"""Montar FIRBP com bucha proteçao {phase5_case_diameter} pol """"""";;;;1;0;0;FASE 5;Montagem e descida de BHA de perfuração;"""Broca {phase5_diameter} """"""";"""Perfuração {phase5_diameter} """"""";Montagem e descida de BHA de perfuração;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
